[0000002732ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000110
[0000002760ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000110
[0000002798ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000111
[0000002822ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000110
[0000002834ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000111
[0000002854ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000012
[0000002868ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000002886ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000120
[0000002914ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000120
[0000002952ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000121
[0000002976ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000120
[0000002992ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000121
[0000003008ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000013
[0000003024ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003036ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000130
[0000003060ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000130
[0000003104ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000131
[0000003126ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000130
[0000003146ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000131
[0000003168ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000014
[0000003184ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003200ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000140
[0000003224ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000140
[0000003256ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000141
[0000003282ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000140
[0000003300ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000141
[0000003322ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000015
[0000003336ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000003350ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000150
[0000003374ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000150
[0000003410ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000151
[0000003432ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000150
